method_code	target_scope	target_name	amplicon_size	actual_length	source	status	accession
QT-EVE-OS-G6H1-F/G6H1-R	event-specific	G6H1	90	90	euginius_amplicon	OK_CLEAN	EUginius
QT-EVE-ST-001	event-specific	EH92-527-1	134	0		SKIPPED	EUginius
QT-EVE-ZM-001	event-specific	VCO1981	85	0		SKIPPED	EUginius
QT-EVE-ZM-002	event-specific	5307	107	0		SKIPPED	EUginius
QT-EVE-ZM-003	event-specific	MON87427	95	0		SKIPPED	EUginius
QT-EVE-ZM-004	event-specific	DAS40278	98	0		SKIPPED	EUginius
QT-EVE-ZM-005	event-specific	MON87460	82	0		SKIPPED	EUginius
QT-EVE-ZM-006	event-specific	Bt11	70	0		SKIPPED	EUginius
QT-EVE-ZM-007	event-specific	GA21	112	0		SKIPPED	EUginius
QT-EVE-ZM-008	event-specific	NK603	108	0		SKIPPED	EUginius
QT-EVE-ZM-009	event-specific	MON863	84	0		SKIPPED	EUginius
QT-EVE-ZM-010	event-specific	DAS1507	58	58	euginius_amplicon	OK_CLEAN	EUginius
QT-EVE-ZM-011	event-specific	T25	102	0		SKIPPED	EUginius
QT-EVE-ZM-012	event-specific	DAS59122	86	0		SKIPPED	EUginius
QT-EVE-ZM-013	event-specific	MIR604	76	0		SKIPPED	EUginius
QT-EVE-ZM-014	event-specific	GA21	101	0		SKIPPED	EUginius
QT-EVE-ZM-015	event-specific	Bt11	68	0		SKIPPED	EUginius
QT-EVE-ZM-016	event-specific	MON88017	94	0		SKIPPED	EUginius
